manufacturer,model,slug,u_height
Cisco,Cisco Catalyst 9300,cisco-catalyst-9300,1.0
Cisco,Aironet 2802I,aironet-2802i,0.0
Cisco,Cisco Catalyst 9500,cisco-catalyst-9500,1.0
Cisco,Cisco ISR 4331,cisco-isr-4331,1.0
Dell,OptiPlex 7090,optiplex-7090,0.0
